Id,Label,timeset,indegree,outdegree,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class
dhanchard,dhanchard,,0,0,0,0,0,0,0,0
nationalpost,nationalpost,,0,0,0,0,0,0,0,0
atm20211,atm20211,,0,0,0,0,0,0,0,0
luciaprincess8,luciaprincess8,,0,0,0,0,0,0,0,0
680news,680news,,0,0,0,0,0,0,0,0
jojo_marsh,jojo_marsh,,0,2,2,1,1,1,0,9
re_dailymail,re_dailymail,,2,0,2,0,0,0,0,9
vacuousness,vacuousness,,0,0,0,0,0,0,0,0
marcuskelson,marcuskelson,,0,0,0,0,0,0,0,0
namaste_40,namaste_40,,0,2,2,1,1,1,0,13
mirrorfashion,mirrorfashion,,0,0,0,0,0,0,0,0
jeantrust,jeantrust,,0,0,0,0,0,0,0,0
voicepoverty,voicepoverty,,0,0,0,0,0,0,0,0
skynews,skynews,,2,0,2,0,0,0,0,8
victoriaarbiter,victoriaarbiter,,2,0,2,0,0,0,0,8
ch_2014,ch_2014,,0,2,2,1,1,1,0,18
dailystar,dailystar,,2,0,2,0,0,0,0,18
twistedties,twistedties,,0,0,0,0,0,0,0,0
cy77mike,cy77mike,,0,0,0,0,0,0,0,0
itv,itv,,0,0,0,0,0,0,0,0
bezawelde,bezawelde,,0,0,0,0,0,0,0,0
william_elyen,william_elyen,,0,0,0,0,0,0,0,0
bpositive33,bpositive33,,0,1,1,1,1,1,0,13
lizziecassidy3,lizziecassidy3,,0,0,0,0,0,0,0,0
royalobserver74,royalobserver74,,0,0,0,0,0,0,0,0
bbcnews,bbcnews,,1,0,1,0,0,0,0,8
_thomaspearson_,_thomaspearson_,,0,0,0,0,0,0,0,0
maggiemobrules,maggiemobrules,,0,0,0,0,0,0,0,0
pardi,pardi,,0,0,0,0,0,0,0,0
2tall4u2,2tall4u2,,0,0,0,0,0,0,0,0
seangarrette,seangarrette,,0,0,0,0,0,0,0,0
channel4news,channel4news,,0,0,0,0,0,0,0,0
tmz,tmz,,0,0,0,0,0,0,0,0
toysoldiers10,toysoldiers10,,0,0,0,0,0,0,0,0
duchesskatemid,duchesskatemid,,0,0,0,0,0,0,0,0
integercode,integercode,,0,0,0,0,0,0,0,0
