Id,Label,timeset,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,indegree,outdegree,Degree
brenbrenchie,brenbrenchie,,0,0,0,0,0,0,0,0
blainegreenwich,blainegreenwich,,0,0,0,0,0,0,0,0
missdeen2,missdeen2,,0,0,0,0,0,0,0,0
burylass144,burylass144,,0,0,0,0,0,0,0,0
yasminkhimani,yasminkhimani,,0,0,0,0,0,0,0,0
walkerstalker18,walkerstalker18,,0,0,0,0,0,0,0,0
3wisemonk3ys,3wisemonk3ys,,0,0,0,0,0,0,0,0
danielleamelia_,danielleamelia_,,0,0,0,0,0,0,0,0
raich89,raich89,,0,0,0,0,0,0,0,0
grandad2002,grandad2002,,0,0,0,0,0,0,0,0
sussexhenryviii,sussexhenryviii,,0,0,0,0,9,5,0,5
danwootton,danwootton,,0,0,0,0,15,5,0,5
moldovia,moldovia,,0,0,0,0,0,0,0,0
skewsmug,skewsmug,,0,0,0,0,0,0,0,0
danat_innocent,danat_innocent,,0,0,0,0,0,0,0,0
here4sussex,here4sussex,,0,0,0,0,0,0,0,0
neilseanshowbiz,neilseanshowbiz,,0,0,0,0,0,0,0,0
royalcentral,royalcentral,,0,0,0,0,16,2,0,2
stylishstyletoo,stylishstyletoo,,1,1,1,0,17,0,2,2
bellaafrorican1,bellaafrorican1,,0,0,0,0,0,0,0,0
welshcelt,welshcelt,,0,0,0,0,0,0,0,0
prpdubent,prpdubent,,0,0,0,0,0,0,0,0
vmkirk,vmkirk,,0,0,0,0,0,0,0,0
guiseppim,guiseppim,,0,0,0,0,0,0,0,0
saffiya_khan1,saffiya_khan1,,0,0,0,0,0,0,0,0
kdrama_newbie,kdrama_newbie,,0,0,0,0,0,0,0,0
theperfecthire,theperfecthire,,0,0,0,0,0,0,0,0
godblessusaye,godblessusaye,,0,0,0,0,0,0,0,0
allsussextweets,allsussextweets,,1,1,1,4,3,5,1,6
beverlyfellsjon,beverlyfellsjon,,0,0,0,0,0,0,0,0
810matriarch,810matriarch,,0,0,0,0,0,0,0,0
leaveeuofficial,leaveeuofficial,,0,0,0,0,0,3,0,3
lhan85,lhan85,,0,0,0,0,0,0,0,0
chanchie19,chanchie19,,1,1,1,0,13,0,3,3
royanikkhah,royanikkhah,,0,0,0,0,0,0,0,0
tradcatfem,tradcatfem,,0,0,0,0,0,0,0,0
gossipgirl9283,gossipgirl9283,,0,0,0,0,0,0,0,0
lthesussex,lthesussex,,1,1,1,0,7,0,2,2
thesun,thesun,,0,0,0,0,7,3,0,3
willina_m,willina_m,,1,1,1,3,17,2,1,3
ravylesley,ravylesley,,0,0,0,0,0,0,0,0
ajanoly,ajanoly,,0,0,0,0,0,0,0,0
lorabells3,lorabells3,,0,0,0,0,0,0,0,0
llamedos77,llamedos77,,0,0,0,0,0,0,0,0
jeaniethepixie,jeaniethepixie,,0,0,0,0,0,0,0,0
geoffreymyers1,geoffreymyers1,,0,0,0,0,0,0,0,0
wildeabrams,wildeabrams,,0,0,0,0,0,0,0,0
irisinidavis,irisinidavis,,0,0,0,0,0,0,0,0
